Order Date,Listing Address,Formatted Address,Order/Listing
2024-12-01 11:00:00,"5258 W Bobwhite Way, Tucson, AZ 85742",5258 w bobwhite way tucson az 85742,
2024-12-01 14:35:00,"21244 W Meadowbrook Ave, Buckeye, AZ 85396",21244 w meadowbrook ave buckeye az 85396,
2024-12-01 14:42:00,"2719 E Sawyer Rd, Green Valley, AZ 85614",2719 e sawyer rd green valley az 85614,
2024-12-01 17:33:00,"23096 S 223rd Way, Queen Creek, AZ 85142",23096 s 223rd way queen creek az 85142,
2024-12-01 18:22:00,"7740 W Blacksill Dr, Tucson, AZ 85741",7740 w blacksill dr tucson az 85741,
2024-12-02 7:55:00,"10526 S Peregrine Ridge Ct, Vail, AZ 85641",10526 s peregrine ridge ct vail az 85641,
2024-12-02 8:26:00,"1600 N Wilmot Rd 209, Tucson, AZ 85712",1600 n wilmot rd 209 tucson az 85712,
2024-12-02 8:46:00,"541 N 159th Pl, Gilbert, AZ 85234",541 n 159th pl gilbert az 85234,
2024-12-02 9:08:00,"6940 E Cochise Rd, Paradise Valley, AZ 85253",6940 e cochise rd paradise valley az 85253,
2024-12-02 9:50:00,"263 N 76th Pl, Mesa, AZ 85207",263 n 76th pl mesa az 85207,
2024-12-02 10:04:00,"10115 E Mountain View Rd 1119, Scottsdale, AZ 85258",10115 e mountain view rd 1119 scottsdale az 85258,
2024-12-02 10:11:00,"6404 W Behrend Dr, Glendale, AZ 85308",6404 w behrend dr glendale az 85308,
2024-12-02 10:28:00,"50644 N 33rd Ave, New River, AZ 85087",50644 n 33rd ave new river az 85087,
2024-12-02 10:31:00,"9443 W Melinda Ln, Peoria, AZ 85382",9443 w melinda ln peoria az 85382,
2024-12-02 10:33:00,"604 S 13th Pl, Coolidge, AZ 85128",604 s 13th pl coolidge az 85128,
2024-12-02 10:50:00,"2741 E Claire Dr, Phoenix, AZ 85032",2741 e claire dr phoenix az 85032,
2024-12-02 10:52:00,"241 N Cobalt Dr, Green Valley, AZ 85614",241 n cobalt dr green valley az 85614,
2024-12-02 11:28:00,"7262 W Turtlecreek Pl, Tucson, AZ 85757",7262 w turtlecreek pl tucson az 85757,
2024-12-02 12:21:00,"9098 S 256th Ln, Buckeye, AZ 85326",9098 s 256th ln buckeye az 85326,
12/2/24 13:19,"3131 E Legacy Dr 2081, Phoenix, AZ 85042",3131 e legacy dr 2081 phoenix az 85042,
12/2/24 13:25,"12846 N 113th Ave 4, Youngtown, AZ 85363",12846 n 113th ave 4 youngtown az 85363,
